Player,Position,Player,,,,,,,,,,,,,,,,,,,
Marquesha Davis,Guard,Marquesha,Davis,,,,,,,,,,,,,,,,,,
Maya Caldwell,Guard,Maya,Caldwell,,,,,,,,,,,,,,,,,,
Maya Dodson,,Maya,Dodson,,,,,,,,,,,,,,,,,,
McKenzie Forbes,,McKenzie,Forbes,,,,,,,,,,,,,,,,,,
Megan Gustafson,Center,Megan,Gustafson,,,,,,,,,,,,,,,,,,
Megan McConnell,,Megan,McConnell,,,,,,,,,,,,,,,,,,
Mercedes Russell,Center,Mercedes,Russell,,,,,,,,,,,,,,,,,,
Michaela Onyenwere,Forward,Michaela,Onyenwere,,,,,,,,,,,,,,,,,,
Mikiah Herbert Harrigan,Forward,Mikiah,Herbert,Harrigan,,,,,,,,,,,,,,,,,
Mimi Collins,,Mimi,Collins,,,,,,,,,,,,,,,,,,
Monika Czinano,,Monika,Czinano,,,,,,,,,,,,,,,,,,
Monique Akoa Makani,Guard,Monique,Akoa,Makani,,,,,,,,,,,,,,,,,
Monique Billings,Forward,Monique,Billings,,,,,,,,,,,,,,,,,,
Morgan Bertsch,Forward,Morgan,Bertsch,,,,,,,,,,,,,,,,,,
Morgan Green,,Morgan,Green,,,,,,,,,,,,,,,,,,
Morgan Jones,,Morgan,Jones,,,,,,,,,,,,,,,,,,
Moriah Jefferson,Guard,Moriah,Jefferson,,,,,,,,,,,,,,,,,,
Murjanatu Musa,Center,Murjanatu,Musa,,,,,,,,,,,,,,,,,,
Mya Hollingshed,,Mya,Hollingshed,,,,,,,,,,,,,,,,,,
Myah Selland,,Myah,Selland,,,,,,,,,,,,,,,,,,
Myisha Hines-Allen,Forward,Myisha,Hines-Allen,,,,,,,,,,,,,,,,,,
NaLyssa Smith,Forward,NaLyssa,Smith,,,,,,,,,,,,,,,,,,
Napheesa Collier,Forward,Napheesa,Collier,,,,,,,,,,,,,,,,,,
Natasha Cloud,Guard,Natasha,Cloud,,,,,,,,,,,,,,,,,,
Natasha Howard,Forward,Natasha,Howard,,,,,,,,,,,,,,,,,,
Natasha Mack,Forward,Natasha,Mack,,,,,,,,,,,,,,,,,,
Natisha Hiedeman,Guard,Natisha,Hiedeman,,,,,,,,,,,,,,,,,,
Naz Hillmon,Forward,Naz,Hillmon,,,,,,,,,,,,,,,,,,
Nia Clouden,Guard,Nia,Clouden,,,,,,,,,,,,,,,,,,
Nia Coffey,Forward,Nia,Coffey,,,,,,,,,,,,,,,,,,
Nika Mühl,Guard,Nika,Mühl,,,,,,,,,,,,,,,,,,
Nikolina Milic,Forward,Nikolina,Milic,,,,,,,,,,,,,,,,,,
Nneka Ogwumike,Forward,Nneka,Ogwumike,,,,,,,,,,,,,,,,,,
Nyara Sabally,Forward,Nyara,Sabally,,,,,,,,,,,,,,,,,,
Odyssey Sims,Guard,Odyssey,Sims,,,,,,,,,,,,,,,,,,
Okako Adika,,Okako,Adika,,,,,,,,,,,,,,,,,,
Olivia Epoupa,Guard,Olivia,Époupa,,,,,,,,,,,,,,,,,,
Olivia Nelson-Ododa,Center,Olivia,Nelson-Ododa,,,,,,,,,,,,,,,,,,
Paige Bueckers,Guard,Paige,Bueckers,,,,,,,,,,,,,,,,,,
Quay Miller,,Quay,Miller,,,,,,,,,,,,,,,,,,
Queen Egbo,Forward-Center,Queen,Egbo,,,,,,,,,,,,,,,,,,
Quinesha Lockett,,Quinesha,Lockett,,,,,,,,,,,,,,,,,,
Rachel Banham,Guard,Rachel,Banham,,,,,,,,,,,,,,,,,,
Rae Burrell,Guard-Forward,Rae,Burrell,,,,,,,,,,,,,,,,,,
Rayah Marshall,Center,Rayah,Marshall,,,,,,,,,,,,,,,,,,
Rebecca Allen,Guard,Rebecca,Allen,,,,,,,,,,,,,,,,,,
Rebekah Gardner,Guard,Rebekah,Gardner,,,,,,,,,,,,,,,,,,
Reigan Richardson,,Reigan,Richardson,,,,,,,,,,,,,,,,,,
Reshanda Gray,,Reshanda,Gray,,,,,,,,,,,,,,,,,,
Rhyne Howard,Guard,Rhyne,Howard,,,,,,,,,,,,,,,,,,
Rickea Jackson,Forward,Rickea,Jackson,,,,,,,,,,,,,,,,,,
Rita Igbokwe,,Rita,Igbokwe,,,,,,,,,,,,,,,,,,
Robyn Parks,Forward,Robyn,Parks,,,,,,,,,,,,,,,,,,
Ruthy Hebard,Forward,Ruthy,Hebard,,,,,,,,,,,,,,,,,,
Sabrina Ionescu,Guard,Sabrina,Ionescu,,,,,,,,,,,,,,,,,,
Sam Thomas,Guard-Forward,Sam,Thomas,,,,,,,,,,,,,,,,,,
Sami Whitcomb,Guard,Sami,Whitcomb,,,,,,,,,,,,,,,,,,
Sania Feagin,Forward,Sania,Feagin,,,,,,,,,,,,,,,,,,
Saniya Rivers,Guard,Saniya,Rivers,,,,,,,,,,,,,,,,,,
Sarah Ashlee Barker,Guard,Sarah,Ashlee,Barker,,,,,,,,,,,,,,,,,
Satou Sabally,Forward,Satou,Sabally,,,,,,,,,,,,,,,,,,
Serena Sundell,,Serena,Sundell,,,,,,,,,,,,,,,,,,
Sevgi Uzun,Guard,Sevgi,Uzun,,,,,,,,,,,,,,,,,,
Shakira Austin,Center-Forward,Shakira,Austin,,,,,,,,,,,,,,,,,,
Shaneice Swain,,Shaneice,Swain,,,,,,,,,,,,,,,,,,
Shatori Walker-Kimbrough,Guard,Shatori,Walker-Kimbrough,,,,,,,,,,,,,,,,,,
Shey Peddy,Guard,Shey,Peddy,,,,,,,,,,,,,,,,,,
Shyanne Sellers,,Shyanne,Sellers,,,,,,,,,,,,,,,,,,
Shyla Heal,,Shyla,Heal,,,,,,,,,,,,,,,,,,
Sika Koné,Forward,Sika,Koné,,,,,,,,,,,,,,,,,,
Sika Kone,Forward,Sika,Kone,,,,,,,,,,,,,,,,,,
Skylar Diggins,Guard,Skylar,Diggins,,,,,,,,,,,,,,,,,,
Skylar Diggins-Smith,Guard,Skylar,Diggins-Smith,,,,,,,,,,,,,,,,,,
Sonia Citron,Guard,Sonia,Citron,,,,,,,,,,,,,,,,,,
Sophie Cunningham,Guard,Sophie,Cunningham,,,,,,,,,,,,,,,,,,
Stefanie Dolson,Center,Stefanie,Dolson,,,,,,,,,,,,,,,,,,
