date,player,offerName,over_under,line,americanOdds,sportsbook,game_time
2025-08-20,Jewell Loyd,3-Pointers,Under,1.5,120,BetOnline,2025-08-20T02:00:00
2025-08-20,Cecilia Zandalasini,3-Pointers,Over,1.5,-182,BetOnline,2025-08-20T02:00:00
2025-08-20,Cecilia Zandalasini,3-Pointers,Under,1.5,139,BetOnline,2025-08-20T02:00:00
2025-08-20,Kahleah Copper,3-Pointers,Over,1.5,-130,BetOnline,2025-08-20T02:00:00
2025-08-20,Kahleah Copper,3-Pointers,Under,1.5,100,BetOnline,2025-08-20T02:00:00
2025-08-20,Rhyne Howard,3-Pointers,Over,2.5,-115,BetOnline,2025-08-20T02:00:00
2025-08-20,Rhyne Howard,3-Pointers,Under,2.5,-112,BetOnline,2025-08-20T02:00:00
2025-08-20,Veronica Burton,3-Pointers,Over,1.5,125,BetOnline,2025-08-20T02:00:00
2025-08-20,Veronica Burton,3-Pointers,Under,1.5,-164,BetOnline,2025-08-20T02:00:00
2025-08-20,Tiffany Hayes,3-Pointers,Over,1.5,120,BetOnline,2025-08-20T02:00:00
2025-08-20,Tiffany Hayes,3-Pointers,Under,1.5,-156,BetOnline,2025-08-20T02:00:00
2025-08-20,Allisha Gray,3-Pointers,Over,2.5,136,BetOnline,2025-08-20T02:00:00
2025-08-20,Allisha Gray,3-Pointers,Under,2.5,-179,BetOnline,2025-08-20T02:00:00
2025-08-20,Chelsea Gray,3-Pointers,Over,1.5,158,BetOnline,2025-08-20T02:00:00
2025-08-20,Chelsea Gray,3-Pointers,Under,1.5,-208,BetOnline,2025-08-20T02:00:00
2025-08-20,Naz Hillmon,3-Pointers,Over,1.5,146,BetOnline,2025-08-20T02:00:00
2025-08-20,Naz Hillmon,3-Pointers,Under,1.5,-192,BetOnline,2025-08-20T02:00:00
2025-08-20,Satou Sabally,3-Pointers,Over,1.5,-119,BetOnline,2025-08-20T02:00:00
2025-08-20,Satou Sabally,3-Pointers,Under,1.5,-109,BetOnline,2025-08-20T02:00:00
2025-08-21,Azurá Stevens,3-Pointers,Over,1.5,-119,BetOnline,2025-08-21T02:00:00
2025-08-21,Azurá Stevens,3-Pointers,Under,1.5,-109,BetOnline,2025-08-21T02:00:00
2025-08-21,Kelsey Plum,3-Pointers,Over,2.5,132,BetOnline,2025-08-21T02:00:00
2025-08-21,Kelsey Plum,3-Pointers,Under,2.5,-172,BetOnline,2025-08-21T02:00:00
2025-08-21,Rickea Jackson,3-Pointers,Over,1.5,-133,BetOnline,2025-08-21T02:00:00
2025-08-21,Rickea Jackson,3-Pointers,Under,1.5,103,BetOnline,2025-08-21T02:00:00
2025-08-21,Paige Bueckers,3-Pointers,Over,1.5,158,BetOnline,2025-08-21T02:00:00
2025-08-21,Paige Bueckers,3-Pointers,Under,1.5,-208,BetOnline,2025-08-21T02:00:00
2025-08-21,Cameron Brink,3-Pointers,Over,0.5,-135,BetOnline,2025-08-21T02:00:00
2025-08-21,Cameron Brink,3-Pointers,Under,0.5,104,BetOnline,2025-08-21T02:00:00
2025-08-19,Jonquel Jones,Rebounds,Over,8.5,100,BetOnline,2025-08-19T23:00:00
2025-08-19,Jonquel Jones,Rebounds,Under,8.5,-130,BetOnline,2025-08-19T23:00:00
2025-08-19,Courtney Williams,Rebounds,Over,4.5,-143,BetOnline,2025-08-19T23:00:00
2025-08-19,Courtney Williams,Rebounds,Under,4.5,110,BetOnline,2025-08-19T23:00:00
2025-08-19,Sabrina Ionescu,Rebounds,Over,4.5,-135,BetOnline,2025-08-19T23:00:00
2025-08-19,Sabrina Ionescu,Rebounds,Under,4.5,104,BetOnline,2025-08-19T23:00:00
2025-08-19,Leonie Fiebich,Rebounds,Over,3.5,110,BetOnline,2025-08-19T23:00:00
2025-08-19,Leonie Fiebich,Rebounds,Under,3.5,-143,BetOnline,2025-08-19T23:00:00
2025-08-19,Alanna Smith,Rebounds,Over,6.5,100,BetOnline,2025-08-19T23:00:00
2025-08-19,Alanna Smith,Rebounds,Under,6.5,-130,BetOnline,2025-08-19T23:00:00
2025-08-19,Kiki Iriafen,Rebounds,Over,8.5,-130,BetOnline,2025-08-19T23:30:00
2025-08-19,Kiki Iriafen,Rebounds,Under,8.5,100,BetOnline,2025-08-19T23:30:00
2025-08-19,Marina Mabrey,Rebounds,Over,4.5,132,BetOnline,2025-08-19T23:30:00
2025-08-19,Marina Mabrey,Rebounds,Under,4.5,-172,BetOnline,2025-08-19T23:30:00
2025-08-19,Sonia Citron,Rebounds,Over,3.5,-108,BetOnline,2025-08-19T23:30:00
2025-08-19,Sonia Citron,Rebounds,Under,3.5,-120,BetOnline,2025-08-19T23:30:00
2025-08-19,Tina Charles,Rebounds,Over,5.5,-143,BetOnline,2025-08-19T23:30:00
2025-08-19,Tina Charles,Rebounds,Under,5.5,110,BetOnline,2025-08-19T23:30:00
2025-08-19,Shakira Austin,Rebounds,Over,6.5,-115,BetOnline,2025-08-19T23:30:00
2025-08-19,Shakira Austin,Rebounds,Under,6.5,-112,BetOnline,2025-08-19T23:30:00
2025-08-20,Kamilla Cardoso,Rebounds,Over,7.5,-143,BetOnline,2025-08-20T00:00:00
2025-08-20,Kamilla Cardoso,Rebounds,Under,7.5,110,BetOnline,2025-08-20T00:00:00
2025-08-20,Angel Reese,Rebounds,Over,9.5,113,BetOnline,2025-08-20T00:00:00
2025-08-20,Angel Reese,Rebounds,Under,9.5,-147,BetOnline,2025-08-20T00:00:00
2025-08-20,Gabby Williams,Rebounds,Over,3.5,-139,BetOnline,2025-08-20T00:00:00
2025-08-20,Gabby Williams,Rebounds,Under,3.5,107,BetOnline,2025-08-20T00:00:00
2025-08-20,Ariel Atkins,Rebounds,Over,3.5,128,BetOnline,2025-08-20T00:00:00
2025-08-20,Ariel Atkins,Rebounds,Under,3.5,-167,BetOnline,2025-08-20T00:00:00
2025-08-20,Ezi Magbegor,Rebounds,Over,5.5,-130,BetOnline,2025-08-20T00:00:00
2025-08-20,Ezi Magbegor,Rebounds,Under,5.5,100,BetOnline,2025-08-20T00:00:00
2025-08-20,Nneka Ogwumike,Rebounds,Over,7.5,-110,BetOnline,2025-08-20T00:00:00
2025-08-20,Nneka Ogwumike,Rebounds,Under,7.5,-118,BetOnline,2025-08-20T00:00:00
2025-08-20,Elizabeth Williams,Rebounds,Over,5.5,-159,BetOnline,2025-08-20T00:00:00
2025-08-20,Elizabeth Williams,Rebounds,Under,5.5,122,BetOnline,2025-08-20T00:00:00
2025-08-20,Dominique Malonga,Rebounds,Over,5.5,-204,BetOnline,2025-08-20T00:00:00
2025-08-20,Dominique Malonga,Rebounds,Under,5.5,154,BetOnline,2025-08-20T00:00:00
2025-08-20,A'ja Wilson,Rebounds,Over,11.5,110,BetOnline,2025-08-20T02:00:00
2025-08-20,A'ja Wilson,Rebounds,Under,11.5,-143,BetOnline,2025-08-20T02:00:00
2025-08-20,Alyssa Thomas,Rebounds,Over,8.5,-132,BetOnline,2025-08-20T02:00:00
2025-08-20,Alyssa Thomas,Rebounds,Under,8.5,102,BetOnline,2025-08-20T02:00:00
2025-08-20,Veronica Burton,Rebounds,Over,4.5,115,BetOnline,2025-08-20T02:00:00
2025-08-20,Veronica Burton,Rebounds,Under,4.5,-149,BetOnline,2025-08-20T02:00:00
2025-08-20,Allisha Gray,Rebounds,Over,5.5,122,BetOnline,2025-08-20T02:00:00
2025-08-20,Allisha Gray,Rebounds,Under,5.5,-159,BetOnline,2025-08-20T02:00:00
2025-08-20,Jackie Young,Rebounds,Over,4.5,110,BetOnline,2025-08-20T02:00:00
2025-08-20,Jackie Young,Rebounds,Under,4.5,-143,BetOnline,2025-08-20T02:00:00
2025-08-20,Rhyne Howard,Rebounds,Over,3.5,-143,BetOnline,2025-08-20T02:00:00
2025-08-20,Rhyne Howard,Rebounds,Under,3.5,110,BetOnline,2025-08-20T02:00:00
2025-08-20,Satou Sabally,Rebounds,Over,5.5,-149,BetOnline,2025-08-20T02:00:00
